Model,Calibration,Accuracy,F1,ECE,Brier
FL-FedAvg (MLP),Uncalibrated,0.768333,0.501196,0.188580,0.179665
FL-FedAvg (MLP),Platt,0.793889,0.220588,0.060705,0.147842
FL-FedAvg (MLP),Temperature,0.768333,0.501196,0.184910,0.178368
FL-FedAvg (MLP),Beta,0.793889,0.220588,0.060705,0.147842
FL-FedAvg (LSTM),Uncalibrated,0.656944,0.466061,0.285614,0.230012
FL-FedAvg (LSTM),Platt,0.778889,0.000000,0.060486,0.150205
FL-FedAvg (LSTM),Temperature,0.656944,0.466061,0.285225,0.230152
FL-FedAvg (LSTM),Beta,0.778889,0.000000,0.060486,0.150205
Central NN,Uncalibrated,0.816389,0.452361,0.018795,0.139023
Central NN,Platt,0.812778,0.389493,0.103681,0.150676
Central NN,Temperature,0.816389,0.452361,0.030494,0.139565
Central NN,Beta,0.812778,0.389493,0.103681,0.150676
